"Wikipage page ID","Wikipage revision ID","label"
"47500191","677536663","Puente Ayrton Senna"
"47199891","674293082","East 21st Street Bridge"
"47709030","682554910","Alice Okolo Bridge"
"","","Angle Vale Bridge"
"47137734","669720782","Batu 6 Bridge"
"47566795","680848075","Danjiang Bridge"
"47793840","681609557","Frank Gehry Bridge"
"47618671","680220934","Kacchi Dargah-Bidupur Bridge"
"47376883","675253559","Pont du Kizil-Hauzen"
"47793123","680665244","Liberty Canyon wildlife crossing"
"","","Long Key Bridge"
"47891755","682253685","McCallum Lock Gates"
"","","Mindoro–Batangas Super Bridge"
"47655292","","Nesciobrug"
"47374237","675426322","Netravati Bridge"
"47697766","679821903","Old Bridge of Vilaller"
"47347905","673254526","Puente de Isabel II"
"","","Sundale Bridge"
"47643224","678167930","Tabriz Cable Bridge"
"5634162","","Alfords Point Bridge"
