"label","birth place"
"Jonathan Vance","http://dbpedia.org/resource/Kingston,_Ontario"
"Joop Warouw",""
"José Gonzalo Escobar","http://dbpedia.org/resource/Mazatlán"
"Justin Jayasuriya",""
"Kalana Jinadasa",""
"Kapila Jayampathy",""
"Karl-Heinz Meltzer",""
"Lee Flemming","Corpus Christi, Texas, U.S."
"Leo Davies",""
"Leonard Addison","Woolwich, London"
"劉福連","Lai'an County, Anhui, China"
"劉粤軍","Guangdong, China"
"Llewellyn Alston",""
"Lou Gardiner","Wellington, New Zealand"
"Manuel António de Sousa","Mapuçá ,"
"王赐吉","http://dbpedia.org/resource/Singapore"
"Mikhail Svechnikov","http://dbpedia.org/resource/Russian_Empire"
"Ong Tze Ch'in",""
"Paschal Conley II","Madison County, Alabama, USA"
"Phil du Preez",""
