"Wikipage page ID","label","coach","next","Link from a Wikipage to an external page","general manager","Wikipage revision ID"
"47930930","2010 Austin Turfcats season","Chris Duliban","N/A","http://www.goifl.com/historic_stats","Joe Martinez","683032815"
"47827959","2010 Corpus Christi Hammerheads season","Stephen Fillmore","2011","http://www.goifl.com/historic_stats","","681208417"
"47703346","2010 San Angelo Stampede Express season","http://dbpedia.org/resource/Clint_Dolezel","","http://www.goifl.com/historic_stats","","681005355"
"46701474","2013 Salina Bombers season","","","http://www.salinabombers.com/","","662733473"
"46375924","2014 Dodge City Law season","","","http://www.dodgecityfootball.com/","","682243126"
"46701324","2014 Salina Bombers season","","","http://www.salinabombers.com/","","664529622"
"46245729","2015 Dodge City Law season","","","http://www.dodgecityfootball.com/","","682243021"
"46633574","2015 Duke City Gladiators season","","","http://dukecitygladiators.com/","","682241230"
"46653347","2015 Omaha Beef season","","","http://www.beeffootball.com/","","682241560"
"46692205","2015 Salina Bombers season","","","http://www.salinabombers.com/","","682241133"
"46648826","2015 San Angelo Bandits season","","","http://www.sabandits.com/","","683098594"
"46670416","2015 Wichita Force season","","","http://www.wichitaforce.com/","","683645193"
"47578369","2011 Sioux Falls Storm season","","","http://www.goifl.com/historic_stats","","677276616"
"45565654","2012 Sioux Falls Storm season","","","http://www.goifl.com/historic_stats","","677276642"
"45368976","2015 Bemidji Axemen season","","","http://www.bemidjiaxemen.com/","","673367906"
"45437568","2015 Billings Wolves season","","","http://billingswolves.com/","","681976873"
"45383583","2015 Cedar Rapids Titans season","","","http://cedarrapidstitans.com/","","671437498"
"45446626","2015 Colorado Ice season","","","http://www.thecoloradoice.com/","","680078871"
"45389447","2015 Green Bay Blizzard season","","","http://www.greenbayblizzard.com/","","680275869"
"45448905","2015 Nebraska Danger season","","","http://www.dangerfootball.com/","","677275775"
