"label","Geburtsort","birth place"
"Errol Draper","http://dbpedia.org/resource/Port_Elizabeth","http://dbpedia.org/resource/Port_Elizabeth"
"Fikri Rosdi","",""
"Frank Garnett","",""
"Frederick Stephenson (cricketer)","http://dbpedia.org/resource/England",""
"George Kemp-Welch","",""
"George Major (cricketer)","http://dbpedia.org/resource/Somerset",""
"Hamisi Abdallah","",""
"Hammad Shahid","http://dbpedia.org/resource/California","http://dbpedia.org/resource/California"
"Hassan Mohammed","",""
"Heinrich Malan","http://dbpedia.org/resource/Pretoria","http://dbpedia.org/resource/Pretoria"
"Hernan Fennell","",""
"Hernan Williams","http://dbpedia.org/resource/Buenos_Aires","http://dbpedia.org/resource/Buenos_Aires"
"Hilone Dinnissen","",""
"Hiran Ralalage","",""
"Hisham Mirza","",""
"Hurtle Willsmore","",""
"Hussain Talat","http://dbpedia.org/resource/Lahore","http://dbpedia.org/resource/Lahore"
"Ian Rotsey","",""
"Imran Ghulam","",""
"Imran Rafiq","http://dbpedia.org/resource/Dera_Ghazi_Khan","http://dbpedia.org/resource/Dera_Ghazi_Khan"
