"Wikipage revision ID","Wikipage page ID","Link from a Wikipage to an external page","label"
"675232800","47460071","http://www.iwrg.mx/","Festival de las Máscaras (2015)"
"683083210","45555418","","Global Wars (2015)"
"680227839","47413369","http://www.iwrg.mx/","Guerra Revolucionaria (2015)"
"674616187","47434088","http://www.iwrg.mx/","Guerra de Empresas (2015)"
"675072313","47460037","http://www.iwrg.mx/","Guerra de Escuelas"
"679836333","47442704","http://www.iwrg.mx/","Guerra de Familias (2015)"
"675075420","47460174","http://www.iwrg.mx/","Guerra del Golfo (2015)"
"675519168","47491995","http://www.iwrg.mx/","Guerra del Golfo (January 2009)"
"675515584","47491804","http://www.iwrg.mx/","Guerra del Golfo (September 2009)"
"675077771","47460352","http://www.iwrg.mx/","IWRG 19th Anniversary Show"
"674448823","47424446","http://www.iwrg.mx/","IWRG La Jaula de Las Locas"
"683911657","47297087","","King of Pro-Wrestling (2015)"
"680268928","47434049","http://www.iwrg.mx/","La Gran Cruzada (2015)"
"673414821","47088344","https://web.archive.org/web/20050311010813/http:/www.brianhildebrand.com/","Mark Curtis Memorial Reunion"
"675588115","47434374","http://www.iwrg.mx/","Prison Fatal (June 2013)"
"675696566","47460270","http://www.iwrg.mx/","Rebelión de los Juniors (2015)"
"675074474","47460134","http://www.iwrg.mx/","Rey del Ring (2015)"
"675074086","47460107","http://www.iwrg.mx/","Ruleta de la Muerte (2015)"
"","","","War of the Worlds (2015)"
"","47450143","","Bellator MMA & Glory: Dynamite 1"
