"Wikipage revision ID","label","Wikipage page ID","Link from a Wikipage to an external page"
"683181236","2015–16 Wellington Phoenix FC season","46451017","http://www.wellingtonphoenix.com/"
"683717501","韋斯咸2015年至2016年球季","46557883","http://www.whufc.com/"
"673179391","1964–65 Galatasaray S.K. season","47279728","http://www.galatasaray.org"
"673824662","1965–66 Galatasaray S.K. season","47344336","http://www.galatasaray.org"
"679559327","1999–2000 Wollongong Wolves FC season","47269446","http://www.southcoastwolvesfc.com.au/"
"674464451","2000–01 Wollongong Wolves FC season","47334212","http://www.southcoastwolvesfc.com.au/"
"674791387","2003–04 Stockport County F.C. season","47433355","http://www.stockportcounty.com"
"676696307","2010–11 Atlético Madrid season","45359638","http://www.clubatleticodemadrid.com/index.php"
"680605561","2013–14 CS Mindelense season","47551643","http://www.csmindelense.com"
"667583520","2014–15 En Avant de Guingamp season","45570636","http://www.eaguingamp.com/"
"665564114","2014–15 Montpellier HSC season","45444572","http://www.mhscfoot.com/"
"665570402","Saison 2014-2015 de l'OGC Nice","45412806","http://www.ogcnice.com/"
"683134779","Sport-Club Freiburg 2014-2015","45512366","http://www.scfreiburg.com/"
"670444003","2014–15 Toulouse FC season","45441584","http://www.tfc.info/"
"682498435","2015 Clube Atlético Mineiro season","47536699","http://fmf.com.br/Competicoes/ProxJogos.aspx?d=1"
"683141178","2015 FC Kairat season","45592920","http://uk.soccerway.com/matches/2015/03/01/kazakhstan/super-cup/fk-lokomotiv-astana/fc-kairat-almaty/1988133/?ICID=HP_MS_205_01"
"683612053","2015 Indy Eleven season","45481199","http://indyprosoccer.com/"
"680288677","2015 Manaw Myay season","47556312","http://www.naypyitawfc.com/"
"678340913","2015 Nay Pyi Taw season","47533683","http://www.naypyitawfc.com/"
"679209754","2015 Rakhine United F.C. season","47443578","http://www.rakhineunitedfc.com/"
