"birth place","Geburtsort","Geburtsdatum","label"
"http://dbpedia.org/resource/Matara,_Sri_Lanka","http://dbpedia.org/resource/Matara,_Sri_Lanka","1971-09-28","Asanga Jayasooriya"
"","","1973-09-05","Azmatullah Nazeer"
"","","","Basil Eddis"
"","","1988-03-18","Ben Ferbrache"
"","","1995-04-18","Ben Kynman"
"","","1987-12-05","Benson Mwita"
"http://dbpedia.org/resource/Sialkot","http://dbpedia.org/resource/Sialkot","","Bilal Asif"
"http://dbpedia.org/resource/England","http://dbpedia.org/resource/England","","Billy Root"
"","http://dbpedia.org/resource/Brighton,_Victoria","","Charles Foot"
"","","1987-07-31","Chimezie Onwuzulike"
"","http://dbpedia.org/resource/Melbourne","","Daniel Noonan (cricketer)"
"","","1991-09-03","Darren Cato"
"http://dbpedia.org/resource/Negombo","http://dbpedia.org/resource/Negombo","","Dasun Shanaka"
"","","1991-03-31","David Hooper (cricketer)"
"http://dbpedia.org/resource/Brisbane","http://dbpedia.org/resource/Brisbane","","Dean Morrison"
"http://dbpedia.org/resource/Colombo","http://dbpedia.org/resource/Colombo","","Dhananjaya de Silva"
"","","1979-12-22","Dotun Olatunji"
"","","1983-12-24","Emmanuel Okwudili"
"","","1982-07-16","Endurance Ofem"
"","","1990-03-27","Enjo Kiongozi"
