"label","Wikipage page ID","Wikipage revision ID","Link from a Wikipage to an external page"
"2005 Conference USA Men's Soccer Tournament","47704317","680275392","http://www.conferenceusa.com/sports/m-soccer/c-usa-m-soccer-body.html"
"2005 Regions Morgan Keegan Championships and the Cellular South Cup","","",""
"2006 Conference USA Men's Soccer Tournament","47709388","680277380","http://www.conferenceusa.com/sports/m-soccer/c-usa-m-soccer-body.html"
"2006 Toulon Tournament","","",""
"2007 Conference USA Men's Soccer Tournament","47709849","679478075","http://www.conferenceusa.com/sports/m-soccer/c-usa-m-soccer-body.html"
"2008 AFF女子選手権","","",""
"2008 Conference USA Men's Soccer Tournament","47709940","680281213","http://www.conferenceusa.com/sports/m-soccer/c-usa-m-soccer-body.html"
"2008 Croatian Football Cup Final","46285335","670276742",""
"Championnats d'Asie d'escrime 2009","46255028","653957753","http://www.asianfencing.com"
"2009 Conference USA Men's Soccer Tournament","47710001","680284928","http://www.conferenceusa.com/sports/m-soccer/c-usa-m-soccer-body.html"
"2009 Croatian Football Cup Final","46285166","670276874",""
"2010 Conference USA Men's Soccer Tournament","47710189","680392050","http://www.conferenceusa.com/sports/m-soccer/c-usa-m-soccer-body.html"
"2012 Deauville American Film Festival","47952501","683141494","http://www.festival-deauville.com"
"2013 Conference USA Men's Soccer Tournament","47710483","680402060","http://www.conferenceusa.com/sports/m-soccer/c-usa-m-soccer-body.html"
"2013 Deauville American Film Festival","47843118","683142616","http://www.festival-deauville.com"
"2014 Conference USA Men's Soccer Tournament","47710593","680436443","http://www.conferenceusa.com/sports/m-soccer/c-usa-m-soccer-body.html"
"2014 Deauville American Film Festival","47683110","683143093","http://www.festival-deauville.com"
"2014 EMF miniEURO","","",""
"2014–15 Hong Kong FA Cup Final","46807300","672627523","https://www.hkfa.com/en/leaguesp?type=2"
"2014–15 Hong Kong League Cup Final","46657699","681713849","https://www.hkfa.com/en/leaguesp?type=4"
