"label","Geburtsort","birth place"
"Ashin Sandadika","http://dbpedia.org/resource/Magway_Region","http://dbpedia.org/resource/Magway_Region"
"Charles Agyin-Asare","",""
"Mohsin Ali Najafi","http://dbpedia.org/resource/Skardu","http://dbpedia.org/resource/Gilgit-Baltistan"
"Yazeinda","http://dbpedia.org/resource/Bago_Region","Inma, Thegon Township, Pegu Division, Burma"
"Ajahn Lee","http://dbpedia.org/resource/Ubon_Ratchathani","http://dbpedia.org/resource/Ubon_Ratchathani"
"Bholoo Shah","",""
"محمد حسن ترحيني","http://dbpedia.org/resource/Ebba,_Lebanon","http://dbpedia.org/resource/Ebba,_Lebanon"
"Peer Jamaat Ali Shah","http://dbpedia.org/resource/Sialkot","Alipur Sharif Sialkot, British India"
"David Hathaway","http://dbpedia.org/resource/United_Kingdom","http://dbpedia.org/resource/United_Kingdom"
"Mohammad Yousaf Abu al-Farah Tartusi","",""
"Pilar Manalo Danao","http://dbpedia.org/resource/Santa_Ana,_Manila","Punta, Santa Ana, Manila, Philippine Islands"
"Rerukane Chandawimala Thero","http://dbpedia.org/resource/Kalutara_District",""
"Antonia Brenner","http://dbpedia.org/resource/California",""
"Charan Singh (guru)","http://dbpedia.org/resource/India",""
"Ivan Corea","",""
"John Robert Hall","",""
"Luis Fernando Castillo Mendez","",""
"Mirza Ghulam Ahmad","",""
"仙覚","",""
"Gyokuko Carlson","",""
