"death place","label","Sterbeort"
"Ankara, Turkey","Arif Peçenek","http://dbpedia.org/resource/Turkey_national_football_team"
"http://dbpedia.org/resource/Yerevan","Григорян, Эдуард Григорьевич","http://dbpedia.org/resource/Yerevan"
"","Enrique Juan Medina Rodríguez",""
"","Flavio Raffo",""
"","Indi Cowie",""
"","Javi Pinillos",""
"","Júnior Lopes",""
"","Milton Mendes",""
"","Ołeksandr Petrakow",""
"","Pablo Franco Martín",""
"","Raúl Valbuena",""
"","Aad Koudijzer",""
"","Хашманян, Абраам Михайлович",""
"","Aleksandr Brazevich",""
"","Aleksandr Goncharenko",""
"","Aleksandr Laptev",""
"http://dbpedia.org/resource/Tehran","Ali Danaeifard","http://dbpedia.org/resource/Tehran"
"","Боговик, Анатолий Иванович",""
"","Andrij Zawjałow",""
"","Andris Riherts",""
