"Geburtsort","birth place","label"
"http://dbpedia.org/resource/Olavarría","http://dbpedia.org/resource/Olavarría","Leandro Messineo"
"http://dbpedia.org/resource/Nice","http://dbpedia.org/resource/Nice","Loïc Bruni"
"http://dbpedia.org/resource/Lviv","http://dbpedia.org/resource/Lviv","Maksym Averin"
"http://dbpedia.org/resource/Mykolaiv","http://dbpedia.org/resource/Mykolaiv","Marlen Zmorka"
"http://dbpedia.org/resource/Japan","http://dbpedia.org/resource/Japan","Masakazu Itō"
"http://dbpedia.org/resource/Maffra","","Max Rowley (cyclist)"
"http://dbpedia.org/resource/Ypres","http://dbpedia.org/resource/Ypres","Maxime Farazijn"
"http://dbpedia.org/resource/Germany","http://dbpedia.org/resource/Germany","Maximilian Schachmann"
"http://dbpedia.org/resource/Austria","http://dbpedia.org/resource/Austria","Michael Gogl"
"","","Michele Gazzara"
"http://dbpedia.org/resource/Iran","http://dbpedia.org/resource/Iran","Mostafa Seyed Rezaei"
"http://dbpedia.org/resource/Roskilde","http://dbpedia.org/resource/Roskilde","Nicolai Bo Larsen"
"http://dbpedia.org/resource/Ukraine","http://dbpedia.org/resource/Ukraine","Olga Shekel"
"http://dbpedia.org/resource/Varese","http://dbpedia.org/resource/Varese","Oscar Mason"
"http://dbpedia.org/resource/Altamura","http://dbpedia.org/resource/Altamura","Paolo Colonna"
"http://dbpedia.org/resource/France","http://dbpedia.org/resource/France","Paul Poux"
"http://dbpedia.org/resource/Jönköping","http://dbpedia.org/resource/Jönköping","Philip Lindau"
"http://dbpedia.org/resource/Italy","http://dbpedia.org/resource/Italy","Raffaele Ferrara"
"","","Reyhaneh Khatouni"
"http://dbpedia.org/resource/Colombia","http://dbpedia.org/resource/Colombia","Rodrigo Contreras (ciclista)"
