"label","Geburtsdatum"
"Lisa Ann Jacquin","1962-02-22"
"Nikołaj Korolkow",""
"Olivier Guillon","1972-05-22"
"Eevamaria Porthan-Broddell",""
"Frédéric Cottier",""
"Karl Schultz",""
"Sven Rothenberger",""
"Barbara Minneci","1969-06-12"
"Bernard Meyer","1865-02-15"
"Luiz Felipe de Azevedo",""
"Hans Staub","1959-03-21"
"Rudolf Günthardt",""
"Veronique Henschen","1988-04-08"
"Wanda Wąsowska","1931-06-28"
"ميغيل فيلا أوباك",""
"Emmanuel de Blommaert",""
"Nanna Skodborg Merrald","1993-10-08"
"Anna Lukasik",""
"Folke Frölén",""
"Gottfried Trachsel",""
