"label","Link from a Wikipage to an external page","Wikipage page ID","Wikipage revision ID"
"FX Sudirman","http://fxsudirman.com/","36103704","604074341"
"Karcher Mall","","",""
"Friendly Center","","",""
"Galleria 220","","9806390",""
"Galleria Ataköy","","",""
"Galleria Center","","",""
"Galleria Dallas","","",""
"Galleria Edina","","",""
"Galleria Shopping Centre","","5099684","670933120"
"Galleria at Crystal Run","","",""
"Galleria at Sunset","","",""
"Galleria at Tyler","","",""
"Lebanon Valley Mall","","37855450",""
"Lehigh Valley Mall","","",""
"Liberty Tree Mall","","",""
"Glendale Galleria","","",""
"Magic Valley Mall","","",""
"Mall at Rockingham Park","","",""
"Maryvale Mall","","",""
"Mesa Mall","","",""
