"Geburtsort","birth place","label"
"http://dbpedia.org/resource/Novomoskovsk,_Dnipropetrovsk_Oblast","http://dbpedia.org/resource/Novomoskovsk,_Dnipropetrovsk_Oblast","Igor Kovalenko"
"http://dbpedia.org/resource/Budapest","http://dbpedia.org/resource/Budapest","Iván Faragó"
"","","Katerina Rohonyan"
"","","Хельмерс, Кнут"
"","","Копылов, Николай Георгиевич"
"http://dbpedia.org/resource/India","http://dbpedia.org/resource/India","Swaminathan Soumya"
"","","Szymon Winawer"
"http://dbpedia.org/resource/Russian_Soviet_Federative_Socialist_Republic","http://dbpedia.org/resource/Russian_Soviet_Federative_Socialist_Republic","Vladimir Lazarev"
"http://dbpedia.org/resource/Vilkaviškis","Vilkaviškis,","Rita Varnienė"
"","","Arnold Denker"
"","","Ashot Anastasian"
"","","Aschot Nadanjan"
"","","István Bilek"
"","","Pedro Damiano"
"","","Рентер, Рауль"
"","","William Donaldson"
"http://dbpedia.org/resource/Lviv","http://dbpedia.org/resource/Lviv","Andrij Wowk (szachista)"
"","","Artur Yusupov"
"","","Darryl Johansen"
"","","David Navara"
