"reporter-volume","label","page","Wikipage revision ID","reporter","Fullname","Wikipage page ID","majority"
"2","American Fur Co. v. United States","358","674321565","Pet.","Sundry Goods, Wares & Merchandises, American Fur Co. v. United States","47400125","Washington"
"","Arizona State Legislature v. Arizona Independent Redistricting Commission","","677216532","","","47144587",""
"","California v. Hodari D.","","679190710","","","47324820",""
"","In re Kansas Indians","","674486835","","The Kansas Indians","47413114","Davis"
"","Lucas v. United States","","674800978","","Lucas v. United States","47435169","Shiras"
"","Rodriguez v. United States","","680569564","","","47142323",""
"","Tarble's Case","","675194789","","Tarble's Case","47256244","Field"
"","Texas Dept. of Hous. and Cmty. Affairs v. Inclusive Communities Project, Inc.","","676463603","","","47162540",""
"","Two Pesos, Inc. v. Taco Cabana, Inc.","","679198011","","Two Pesos, Inc., Petitioner v. Taco Cabana, Inc.","47207674","White"
"","United States v. Antelope","","676038105","","United States v. Antelope, et al.","47267431",""
"","United States v. Philadelphia Nat'l Bank","","675668878","","","47397450",""
"","Walker Process Equipment, Inc. v. Food Machinery & Chemical Corp.","","680416817","","Walker Process Equipment, Inc. v. Food Machinery & Chemical Corp.","47511544",""
"","Board of Education of the Hendrick Hudson Central School District v. Rowley","","","","","",""
"","Breithaupt v. Abram","","682909631","","","47111841",""
"","Burlington Industries, Inc. v. Ellerth","","683754565","","","47740549",""
"","Connally v. General Construction Co.","","681574999","","Connally, et. al. v. General Construction Co.","47760786","Sutherland"
"","Hallinger v. Davis","","683303265","","Hallinger v. Davis","47721607",""
"","J. W. Hampton, Jr. & Co. v. United States","","680103540","","J. W. Hampton, Jr. & Company v. United States","47636640",""
"","Jesinoski v. Countrywide Home Loans, Inc.","","679297745","","","47129899",""
"","Johnson v. United States (2015)","","678994440","","","47090698",""
