"label","Geburtsort"
"Marije Joling","http://dbpedia.org/resource/Assen"
"Tyler Derraugh",""
"Roeslan Moerasjov","http://dbpedia.org/resource/Russia"
"Jan Bols (Eisschnellläufer)",""
"Joji Kato",""
"Aika Klein","http://dbpedia.org/resource/Rostock"
"Chun Lee-kyung","http://dbpedia.org/resource/Okcheon_County"
"Olga Borissowna Graf","http://dbpedia.org/resource/Omsk"
"Tatiana Bodova","http://dbpedia.org/resource/Slovakia"
"Zhao Xin","http://dbpedia.org/resource/Jilin_City"
"Allan Potts",""
"Bert de Jong (speed skater)","http://dbpedia.org/resource/Grou"
"Bob de Jong",""
"Tonny de Jong",""
"Ivar Ballangrud",""
"Ådne Søndrål",""
"Daan Breeuwsma","http://dbpedia.org/resource/Heerenveen"
"Kwak Yoon-gy","http://dbpedia.org/resource/Seoul"
"Volha Talayeva","http://dbpedia.org/resource/Vitebsk"
"Paula Bzura","http://dbpedia.org/resource/Białystok"
