"Link from a Wikipage to an external page","Wikipage revision ID","introduced","Wikipage page ID","distributor","label"
"http://www.ediblebajaarizona.com/mesquite-chairs-to-cheers","675168760","2013","47444425","Quench","Hamilton Distillers"
"","676344944","","47510836","","Khiramohana"
"http://impalagoa.com","681136874","","47287793","","King's Black Label Premium Pilsner"
"","682894653","","47921149","","Lady Baltimore cake"
"","679505124","","47171466","","Miyan kuka"
"http://www.murreebrewery.com","681866376","1860","47425889","","Murree beer"
"","670906876","","47180733","","Pate acha"
"http://www.shebayemenifood.com/content/yemeni-tea.html","672659786","","47302040","","Shahi Haleeb"
"","675220108","","47171447","","Tuwo shinkafa"
"","675596567","","47270265","","Vegan cheese"
"http://www.ams.usda.gov/AMSv1.0/getfile?dDocName&#61;STELDEV3003281","682681327","","47914983","","Bottom sirloin"
"http://www.marksandspencer.com/giant-colin-the-caterpillar-cake/p/p21041637","683292030","","47896553","","Colin the Caterpillar"
"","680493103","","47782755","","Cookie butter"
"https://maxineschuiling.wordpress.com/2014/04/14/recipe-dadar-gulung-indonesian-coconut-pancakes/","668543953","","47072276","","Dadar gulung"
"http://carolynjphillips.blogspot.co.uk/2011/08/fujians-red-wine-chicken.html","681935545","","47603100","","Fujian red wine chicken"
"","","","","","Guoba"
"http://allotment2kitchen.blogspot.ca/2010/01/mushroom-haggis-pakoras-with-curried.html","683349063","","47602552","","Haggis pakora"
"http://www.indiatimes.com/health/recipes/jeera-aloo-recipe-242674.html","683945868","","47992964","","Jeera aloo"
"","","","47850065","","Khanom thuai"
"https://www.youtube.com/watch?v=Et9QWrSSB-s","683331384","","47688711","","Malu Mirisata"
