"Wikipage revision ID","label","Wikipage page ID"
"670788946","Amblymora baloghi","47165158"
"670789060","Amblymora bivittata","47165134"
"670789177","Amblymora carinipennis","47165159"
"670789302","Amblymora conferta","47165118"
"670789422","Amblymora consputa","47165121"
"670789541","Amblymora elongata","47165161"
"670789649","Amblymora excavata","47165135"
"670789784","Amblymora fergussoni","47165162"
"670789859","Amblymora fumosa","47165122"
"672425166","Amblymora gebeensis","47165163"
"672425386","Amblymora instabilis","47165123"
"672425634","Amblymora keyana","47165176"
"672425854","Amblymora marmorata","47165136"
"672426108","Amblymora multiguttata","47165205"
"672426325","Amblymora obiensis","47165177"
"672426637","Amblymora papuana","47165137"
"672426840","Amblymora pseudoconferta","47165138"
"672427038","Amblymora rufula","47165179"
"672427235","Amblymora samarensis","47165180"
"672427466","Amblymora spinipennis","47165140"
