"builder","currentowner","operator","Wikipage page ID","label","locale","Wikipage revision ID"
"Brooks Locomotive Works","Mid-Condident Railway","http://dbpedia.org/resource/Minneapolis,_St._Paul_and_Sault_Ste._Marie_Railroad","47566347","Soo Line 2645","http://dbpedia.org/resource/Upper_Midwest","677154946"
"","","","3850071","Baltimore and Ohio No. 2 Lord Baltimore","",""
"","","","2025013","British Rail Class 43 (HST)","","682905773"
"","","","2025017","British Rail Class 43 (Warship Class)","","669340249"
"","","","3685614","Chesapeake and Ohio classes L-2 and L-2-A","","673806061"
"","","","","EMC TA","",""
"","","","","Siemens ES64 EuroSprinter","",""
"","","","3839917","Exe (locomotive)","","672959465"
"","","","2938678","GER Class A55","","669565138"
"","","","","GE Genesis","",""
"","","","","GWR Firefly Class","",""
"","","","","Locomotiva Blücher","",""
"","","","1693195","LMS Fairburn 2-6-4T","","679005528"
"","","","3077854","LMS Sentinel 7192","","670868895"
"","","","3057213","LMS Sentinels 7160–7163","","670871100"
"","","","36038094","LNWR Bloomer Class","","644574356"
"","","","19619783","Milwaukee Road class L2","",""
"","","","","NR class","",""
"","","","","NYC Niagara","",""
"","","","","Planet (locomotive)","",""
