"label","Wikipage page ID"
"Budafoki LC","46931488"
"Budapesti EAC",""
"Budapesti VSC (fencing)","47300708"
"CS Marítimo C",""
"Club de Accionariado Popular Ciudad de Murcia",""
"CAR Cáceres","47395499"
"CB Morón",""
"Berio Futbol Taldea",""
"CD Burgos Promesas 2000",""
"CD Gerena",""
"Club Deportivo Utrera",""
"CEP Fleurus","46297162"
"Club de Fútbol Unión Viera",""
"CSM Suceava",""
"Centro Sportivo del Plebiscito Padova","46529243"
"Canada men's national handball team","46633648"
"Carinthians Soccer Women","47737162"
"Cedar Rapids Rampage",""
"Central Florida Jaguars","47998169"
"Cerdanyola del Vallès FC",""
