"Wikipage revision ID","C","Wikipage page ID","CAS number","label","ChemSpiderID"
"683541612","12","47254093","1336911","4-Methylbuphedrone","26702147"
"675651920","","47444028","","5-Formyluracil",""
"673141011","","47292282","","5-Hydroxycytosine",""
"675653809","","47444054","","5-Hydroxyhydantoin",""
"673140161","","47292295","","5-Hydroxyuracil",""
"674409425","16","47292252","850032","5-MeO-EiPT",""
"681195556","20","47319878","","5F-AB-FUPPYCA",""
"683568254","18","47160921","1800101","5F-AB-PINACA",""
"672821121","19","47263903","","5F-ADB-PINACA",""
"683568204","20","47264094","1801338","5F-ADBICA",""
"683538801","23","47163530","","5F-APINACA",""
"678592008","22","47209128","1400742","5F-CUMYL-PINACA",""
"676265752","20","47488177","","5F-EMB-PINACA",""
"672804310","24","47321603","1445580","5F-NNE1","29341632"
"678592015","23","47309223","","5F-PCN",""
"677454064","","47555614","","5β-Dihydroprogesterone",""
"","","","","6-Hydroxymelatonin",""
"671900413","21","47264015","","AB-FUBICA",""
"671901302","19","47264066","","AB-PICA",""
"672883214","24","47326615","","ADAMANTYL-THPINACA",""
