"Wikipage revision ID","label","Wikipage page ID"
"671211669","Amblygaster clupeoides","47225672"
"671212172","Amblygaster leiogaster","47225737"
"","Amblygaster sirm","47225891"
"675869191","Esox aquitanicus","47512866"
"682571102","Asteracanthus","47919721"
"675446982","Astyanax microschemos","47448784"
"675030802","Astyanax pelecus","47457740"
"671900435","Cheilopogon nigricans","47262200"
"678359155","Coregonus arenicolus","47538575"
"679832041","Cosmopolitodus","47180706"
"","Escualosa thoracata",""
"672226863","Gymnotus choco","47282345"
"671892852","Hemiramphus archipelagicus","47262358"
"683072923","Labiobarbus cyanopareja","47531291"
"670410898","Lagusia micracanthus","47168978"
"676524501","Lasiognathus dinema","47484974"
"671202130","Leiognathus berbis","47224931"
"671204785","Leiognathus brevirostris","47224985"
"670166189","Lepidotrigla guentheri","47165509"
"670166363","Lepidotrigla kishinouyi","47165513"
