"label","Wikipage page ID","Wikipage revision ID"
"Paternoster Midden","44126474","678114334"
"Gruta de Casteret","",""
"Dersios sinkhole","5274070","673110579"
"","",""
"","",""
"","",""
"","",""
"Thrupe Lane Swallet","",""
"Cave S","38252881","621156795"
"Sistema Sac Actun","",""
"Eden Sike Cave","",""
"Traungold Cave","",""
"Burnet Cave","",""
"Brown's Cave","38556588","538844273"
"Levant Cave","38556638","542539531"
"Ogof Hesp Alyn","",""
"Dunmore Cave","",""
"Grotta di Nettuno","",""
"Vjetrenica","",""
"Bears' Cave","3801830","678328548"
