"label","Wikipage page ID"
"2014–15 Nedbank Cup","46876624"
"2015 AFC Women's Futsal Championship",""
"AMF Futsal World Cup 2015",""
"2015 Abierto Tampico",""
"2015 Aegon Eastbourne Trophy",""
"AEGON Ilkley Trophy 2015",""
"AEGON Surbiton Trophy 2015",""
"2015 Asian Weightlifting Championships","47775805"
"Berlin ePrix 2015","46729146"
"2015 Black-Eyed Susan Stakes",""
"Campeonato de Fútbol Playa de Conmebol 2015","45641813"
"Challenger Banque Nationale 2015","45647604"
"2015 Coleman Vision Tennis Championships",""
"Copa Colonia 2015",""
"نهائي كوبا أمريكا 2015",""
"كوبا أمريكا 2015 - المجموعة أ","46903992"
"كوبا أمريكا 2015 - المجموعة ب","46903999"
"كوبا أمريكا 2015 - المجموعة ج","46904006"
"كوبا أمريكا 2015 - مرحلة خروج المغلوب","46925541"
"Copa EuroAmericana 2015",""
