"Wikipage revision ID","label","Wikipage page ID"
"671456489","Titanes del Distrito Nacional","47230177"
"683971427","Arki Alumni Basketball","47867914"
"683384919","Asker Aliens B.C.","47961603"
"","BC Delikatesas",""
"","BC Ežerūnas",""
"","BC Rasai",""
"678603987","Baunach Young Pikes","47670380"
"","Hamburg Towers","47382215"
"682014052","Hibernia Basketball","47363794"
"683845784","Hobart Chargers","48010222"
"683821081","KB AS Kastrioti","47900454"
"682299206","KB Ylli","47899833"
"682985032","KK Best","47625925"
"682061533","Livadeia B.C.","47689257"
"683407187","Mono Vampire","47973024"
"683937788","OKK Konstantin","48014170"
"678775358","Oettinger Rockets Gotha","47670398"
"","Olimpia Cagliari","47647877"
"675378218","CS Phoenix Galaţi","47352258"
"678372588","Soproni Kosárlabda Csapat","47372634"
