"Wikipage revision ID","Link from a Wikipage to an external page","label","Wikipage page ID"
"680928651","http://www.kosovomotorway.com/","R7 Motorway (Kosovo)","47780290"
"671591511","","A11 motorway (Romania)","47147061"
"671084652","","Circumferential Road 1","47210941"
"","","Circumferential Road 6","47219953"
"672223677","","Farm to Market Road 2591","47285459"
"","","Farm to Market Road 3351","47207177"
"672192865","","Florida State Road 122","47270566"
"679596126","","東九州自動車道","47209676"
"678163527","","Jalan FELDA Gedangsa","47542552"
"682345972","","Jalan Kampung Buloh","47556093"
"674462848","","Jalan Lahat-Simpang Pulai","47247540"
"","","",""
"674819309","","K-31 (Kansas highway)","47400398"
"674476424","","K-39 (Kansas highway)","47404495"
"674475868","","K-47 (Kansas highway)","47416556"
"674818782","","K-49 (Kansas highway)","47422701"
"675888744","","K-57 (Kansas highway)","47493770"
"681530727","","K-62 (Kansas highway)","47513893"
"677170664","","K-63 (Kansas highway)","47514648"
"670006203","","Kentucky Route 154","47145535"
