"label","Wikipage page ID","Wikipage revision ID"
"Sporosarcina pasteurii","26274722","636592500"
"Gluconacetobacter hansenii","42514835","651468491"
"Rhodocyclus purpureus","40013301","651612611"
"Acetofilamentum rigidum","31887935","640928576"
"Desulfovibrio gabonensis","42802068","678775510"
"Roseburia hominis","40758882","674317592"
"Salinispora arenicola","40282535","669353650"
"Spirillum winogradskyi","40444899","637084463"
"Clostridium septicum","16954499",""
"Algoriphagus ratkowskyi","41950118","636489964"
"Aeromonas sharmana","41335588","678239782"
"Aeromonas australiensis","41205561","678502153"
"Antarctobacter heliothermus","42681407","651465683"
"Cystobacter","31846065","678459321"
"Desulfonatronum thiosulfatophilum","43294813","651469226"
"Jeotgalicoccus nanhaiensis","42457296","636648798"
"Thermoanaerobacter kivui","35915594","617019599"
"Yangia","12857944",""
"Actinopolyspora xinjiangensis","42294877","637004713"
"Desulfofrigus oceanense","40421564","651469168"
