"label","death place","birth place"
"Christopher Welby-Everard","Sleaford, Lincolnshire","Spalding, Lincolnshire"
"Christopher Woolner","http://dbpedia.org/resource/Ashford,_Kent","Kensington, London"
"Clarence Bird","Tunbridge Wells, Kent","Whalley, Lancashire"
"Clement West","Heathfield, Sussex","Manmad, India"
"Desmond Hayde","",""
"Doug Beattie, British Army Officer","",""
"Douglas Beanland","",""
"Douglas Darling","",""
"Edmund Heldut-Tarnasiewicz","http://dbpedia.org/resource/London","http://dbpedia.org/resource/Radom"
"Eduardo Año","",""
"Edward Backhouse (British Army officer)","Bury St Edmunds, Suffolk","Bosmere, Suffolk"
"Edward Gabriel André Barrett","New York City, New York, U.S.","New Orleans, New Orleans, U.S."
"Edward Lawson, 4th Baron Burnham","",""
"Euston Baker","","Fulham, London"
"Frank Percy Crozier","London, England","http://dbpedia.org/resource/Bermuda"
"Frank William Ramsay","",""
"Frank Witts","Glasgow, Scotland","Upper Slaughter, Gloucestershire"
"François Lanusse","http://dbpedia.org/resource/Canopic_jar","http://dbpedia.org/resource/Landes_(department)"
"G Ashok Kumar","",""
"Geoffrey Beyts","Benajarafe, Spain","Bhudi, Kutch State, India"
