"Wikipage revision ID","label","Wikipage page ID"
"681477291","Ed Yong","47388865"
"","Hannah Vaughan Jones",""
"","Mimi Chakarova",""
"","Anita Sethi","47422382"
"","Francis Spurzheim Craig",""
"","Joe Nichols (journalist)",""
"","John A. Nolan",""
"","John Plender",""
"","Lisa Byington","47281083"
"","Mahmud al-Rashid",""
"","Patricia Babcock-McGraw",""
"","Rosa Marchitelli","47265639"
"","William Roger Callahan",""
"682809673","Baltej Pannu","47897397"
"","Cindy Elavsky",""
"","James M. Langley",""
"","Marguerite McDonald (journalist)",""
"","",""
"","Susannah Cahalan",""
"","Adrian Wooldridge",""
