"label","Wikipage page ID"
"Cushing ulcer","1010594"
"Cutaneous leishmaniasis","2798373"
"Dental caries","414350"
"التهاب الجلد الحلئي الشكل","18722294"
"خلل أداء تنموي","7847673"
"Morbus Forestier",""
"ازدواج القضيب",""
"Disorders of sex development",""
"ذئبة حمامية محدثة بالأدوية",""
"Ebstein's anomaly","1007781"
"Verschluss des Ductus ejaculatorius",""
"Erythema annulare centrifugum",""
"Erythema multiforme","944199"
"Erythema nodosum","2949731"
"Extramammary Paget's disease",""
"Familial dysautonomia",""
"Familial hypercholesterolemia","6834535"
"Fecal occult blood",""
"Fetal alcohol spectrum disorder",""
"Florid cutaneous papillomatosis",""
