"label","Geburtsdatum"
"Mike Darrington","1931-09-13"
"Nick Pearce","1967-01-25"
"Paddy Browne","1965-04-01"
"Paul Cavney","1967-08-06"
"Phaitoon Phonbun","1975-10-05"
"Robert Marshall (snooker player)","1964-08-25"
"Roger Garrett",""
"Roy Andrewartha","1938-04-23"
"Sanderson Lam",""
"Spencer Dunn (snooker player)",""
"Stuart Reardon (snooker player)",""
"Surinder Gill","1968-01-20"
"Chen Zhe",""
"David Morris (snooker player)",""
"Fred Davis",""
"Joe Johnson (snooker player)",""
"Joe Perry (snooker player)",""
"John Spencer (snooker player)",""
"Mark King (snooker player)",""
"Scott Donaldson",""
