"birth place","label","Geburtsort"
"http://dbpedia.org/resource/Greenville,_South_Carolina","Aaron Keyes","http://dbpedia.org/resource/Greenville,_South_Carolina"
"","Aaron Peskin",""
"","Aastha Bhajan TV",""
"Sinamangal, Kathmandu, Nepal","Aastha Pokharel","http://dbpedia.org/resource/Kathmandu"
"Bahrain","Abbas Al Omran",""
"","Abbas Almosawi",""
"","Abbey Rangers F.C.",""
"Baghdad, Iraq","عبد الرزاق عبد الواحد","http://dbpedia.org/resource/Baghdad"
"Karachi","Abdullah Niazi Qawwal",""
"","Abe Issa",""
"","Abigail's Ghost",""
"","Abigail Budak",""
"http://dbpedia.org/resource/New_Orleans","Abigail Duhon","http://dbpedia.org/resource/New_Orleans"
"http://dbpedia.org/resource/Panama","Abner Benaim","http://dbpedia.org/resource/Panama"
"","Abu Dhabi Fund for Development",""
"","Abu Dhabi National Insurance Company",""
"","Abu Dhabi Tourism & Culture Authority",""
"","Abunayyan Holding",""
"","Academic Chess",""
"","Academy 360",""
