"Link from a Wikipage to an external page","Wikipage page ID","label","Wikipage revision ID"
"http://www.acadine.com/","47315918","Acadine Technologies","672850617"
"http://www.acceltree.com/","47773412","Acceltree Software","681153386"
"http://www.accumuli.com/","46215145","Accumuli Security","653357237"
"","","Achill Rovers F.D.A.C",""
"http://www.acodez.in/","46625395","Acodez","661212448"
"http://www.beechtreepark.com","46892658","Action Tuam","676192521"
"http://www.actorscomedystudio.com","46768530","Actors Comedy Studio","681922907"
"","46769566","Acıbadem Üniversitesi S.K.","682083713"
"http://www.adpushup.com/","47819663","AdPushup","683473443"
"","46753546","Adam Eckersley Band","679564493"
"","46182017","Adam and Gila Milstein Family Foundation","681441884"
"","","Adamas University",""
"http://www.adamsresources.com","45664794","Adams Resources & Energy","669211080"
"http://www.adanaaskispor.com","46487622","Adana ASKI","683984464"
"","46313297","Adaro (DJ)","683311888"
"","","Adelaide Adrenaline (Women)",""
"http://www.adgreetz.com","45638334","Adgreetz","676890951"
"","","Adhyatma TV",""
"","","Advanced Business Solutions",""
"","47986784","Aero Nord","683544953"
