"Wikipage page ID","label","province","Wikipage revision ID"
"47172586","Whitehorse South Centre","Yukon","672522580"
"47549546","清朝治疆历史","","682293819"
"","Apostolic Prefecture of Vichada","",""
"47588715","إمانويل بابباس (سيرري)","","681920768"
"47108769","Humber - Gros Morne","","670065110"
"","Maronite Catholic Archeparchy of Cyprus","",""
"","Maronite Catholic Eparchy of Cairo","",""
"47352119","Osroene (Roman province)","",""
"47615259","Sanjak of Pakrac","","682987144"
"47906545","Shrimant Yashwantrao vikramshaji Mukne","","683052168"
"47906430","Thakur Jalim Singh Ji","","683465017"
"47354534","Whitehorse Porter Creek West","Yukon","673325355"
"","Aberdeen, New South Wales","",""
"","Aberfeldy, Victoria","",""
"","Abermain, New South Wales","",""
"","Abyjski ulus","",""
"","Acheron, Victoria","",""
"","Acland, Queensland","",""
"","Addington, Victoria","",""
"","Adelaide Lead, Victoria","",""
