"label","Wikipage revision ID","Link from a Wikipage to an external page","Wikipage page ID"
"Électre (Giraudoux)","676015660","http://www.bacdefrancais.net/electre.php","28129983"
"Electra (Sophocles play)","681062177","http://bmcr.brynmawr.edu/2009/2009-08-03.html","766879"
"FOB (play)","","",""
"Homegrown: a true story","681458405","","28325377"
"Horestes","","",""
"House & Garden (plays)","","",""
"Loot (play)","","",""
"Mourning Becomes Electra","","",""
"Orestes (play)","","",""
"Pearl (radio play)","","",""
"Relatively Speaking (1965 play)","619837203","http://relativelyspeaking.alanayckbourn.net/","5937676"
"Romantic Comedy (play)","","",""
"Ross (play)","","",""
"Santa Claus: A Morality","659155968","","18870028"
"Talk Radio (play)","","",""
"The Bat (play)","661237026","http://digital.library.pitt.edu/cgi-bin/f/findaid/findaid-idx?c=ascead;cc=ascead;q1=1958.03;rgn=main;view=text;didno=US-PPiU-sc195803","38753229"
"The Butterflies (play)","","",""
"The Chief (play)","","",""
"The Chocolate Frog","653347748","http://www.ausstage.edu.au/pages/work/5032","38914207"
"The Clouds","","",""
