"Wikipage page ID","Link from a Wikipage to an external page","Wikipage revision ID","label"
"47713656","http://www.filipinoamericanmuseum.com/","683540159","Filipino American Museum"
"","","","Five wits (Entertainment Center)"
"","","","Frost Entomological Museum"
"","","","Gandhi Teerth"
"47399675","http://www.garageccc.com/en","677115524","Гараж (музей)"
"46774703","","670775580","Deutsches Phonomuseum"
"46921420","","683439735","Гранд Макет Россия"
"","","","Planetarium Hamburg"
"46759901","http://www.discoverycenterhawaii.org","673430312","Hawaii Children's Discovery Center"
"47366472","","","Heritage Farm Museum and Village"
"","","","Hus Gallery"
"46882967","https://www.idigbio.org/about-idigbio/","666222854","IDigBio"
"46329054","","668599184","Ilana Goor Museum"
"","","","International Buddhist Museum"
"47865024","http://jklmuseum.com/","683062701","JKL Museum of Telephony"
"","","","Lelooska Museum"
"48013961","","683989868","Malta Aviation Museum"
"47308641","http://www.birmingham.ac.uk/facilities/cadbury/archives/mingana","672653089","Mingana Collection"
"47758247","http://www.mamaalbury.com.au/","682348888","Murray Art Museum Albury"
"","","","Museo-laboratorio della civiltà contadina"
