"label","Wikipage page ID"
"Great Leap Brewing","46688099"
"Tractor Brewing Company",""
"Abbey Brewing Company","45484793"
"Van Steenberge","47052545"
"Revolution Brewing (Colorado)","45529590"
"Minhas Craft Brewery","47378038"
"Cascade Brewery",""
"De Dolle Brouwers",""
"Brauerei Forst",""
"G. Schneider & Sohn",""
"Holy Cow Casino and Brewery","23893637"
"Iron City Brewing Company",""
"Brasseurs RJ",""
"Black Isle Brewery",""
"Four Peaks Brewery",""
"Hook Norton Brewery",""
"Macks Ølbryggeri",""
"Northern Breweries",""
"Rio Salado Brewing Company",""
"Stone Brewing Co.","2427689"
