"Geburtsort","Geburtsdatum","birth place","label"
"http://dbpedia.org/resource/New_South_Wales","1993-07-26","New South Wales, Australia","Kim Ravaillion"
"http://dbpedia.org/resource/Wrexham","1992-04-06","Wrexham, Wales","Nia Jones"
"","","","Bianca Chatfield"
"","","","Lesley Rumball"
"","","","Anna Galvan"
"","","","Caitlin Bassett"
"","","","Alex Clarke (netball)"
"","","","Tracey Pemberton"
"","1994-05-17","","Kaylia Stanton"
"","","","Lisa Alexander (netball)"
"","","","Maria Tutaia"
"","","","Jodi Tod"
"","","","Te Paea Selby-Rickit"
"","","","Ingrid Dick"
"","","","Sonia Mkoloma"
"","","","Amber Bellringer"
"","","","Natalie Medhurst"
"","1978-05-31","","Selina Hornibrook"
"","","","Tiffany Lincoln"
"","","","Sheryl Scanlan"
