"label","Wikipage revision ID","photo","Wikipage page ID"
"Гебек-кала","675562561","Gora Gebek-kala.jpg","47418922"
"","","",""
"","","",""
"Long Drop Cave","672742524","","47272105"
"","","",""
"Murder Creek","","","47215253"
"","","",""
"Passo Frontè","674187445","","47402671"
"Saidgai Lake","682386819","","47521242"
"","","",""
"Todzie River","675908989","","47274362"
"Vrtare Male","678594026","","47475190"
"","","",""
"Yarımburgaz Cave","","",""
"Ariadne (crater)","681426843","","47696373"
"Bashigram Lake","680732153","","47599301"
"Dawna Range","","",""
"Frickenhofer Höhe","680134391","","47744861"
"Garni Crater","683989900","","47986712"
"Gleichberge","678093018","","47363590"
