"mission type","launch date","Wikipage revision ID","label","operator","Wikipage page ID"
"Reconnaissance","2021","683579860","DAVINCI (spacecraft)","http://dbpedia.org/resource/NASA","47989065"
"","--09-14","681086941","Ekspress AM8","","47819372"
"","","","Exploration Mission 3","","47633979"
"","","683387706","HD 219134 b","","47390310"
"","","676993506","HP Lyrae","","47576594"
"","","676983475","HR 4339","","47574551"
"","","","KOI-2194.03","","47720648"
"","","681575252","KOI-256","","47599527"
"","","680315132","KOI-7296.01","","47565020"
"","","680218815","KOI-854.01","","47565476"
"","","678436918","Kepler-283c","","47644950"
"","","681305703","Kepler-296","","47385109"
"","","679534879","Kepler-371b","","47720752"
"","","679534884","Kepler-371c","","47720780"
"","","677963365","Kepler-421","","47591140"
"","","673984882","LHS 2520","","47383870"
"","","677013486","Luch 5V","","47578342"
"","","673752404","M59-UCD3","","47359227"
"","","677761812","MW 18014","","47589007"
"","2018","679369696","Mangalyaan 2","","47090372"
