"Wikipage page ID","Wikipage revision ID","label"
"30102129","616878695","Advance (horse)"
"","","Airborne (horse)"
"","","アニマルキングダム"
"","","アサシン (競走馬)"
"","","アトラクション (競走馬)"
"","","Belmar (horse)"
"","","Blenheim (horse)"
"","","Brew (horse)"
"","","ケープブランコ"
"","","Cavan (horse)"
"22801622","571260331","Chandler (horse)"
"","","Common (horse)"
"","","Cremorne (horse)"
"","","ディーダラス"
"","","Danzig (horse)"
"","","Discovery (horse)"
"","","Display (horse)"
"","","El Segundo (horse)"
"","","Eliza (horse)"
"","","Fair Play (horse)"
