"Wikipage revision ID","label","Wikipage page ID","Link from a Wikipage to an external page"
"671739230","Jai alai","234695","http://www2.library.unr.edu/journals/10423834/1995/p001.pdf"
"","Mountain biking","",""
"","Caber toss","",""
"","Roque","",""
"","Kho kho","",""
"","Kronum","",""
"","Combat sport","",""
"","Finswimming","",""
"","Park golf","",""
"","Unicycle hockey","",""
"677149718","Ladies' Gaelic football","2911812","http://www.worldfootynews.com/article.php?story=20060318235711849"
"","Volleyball in the United States","",""
"","Gateball","",""
"","Russell Mark Tanner","",""
"","Trail Orienteering","",""
"","Beach Flags (sport)","",""
"679892795","VX (sport)","41758455","http://falkirkcannonsvx.com/"
"678373732","Pferderennen","74711","http://www.njhr.net/"
"679551953","Rodeo","78151","http://www.autrycollections.org/mwebcgi/mweb.exe?request=keyword;keyword=rodeo%20photographs"
"683338997","Softball","80763",""
