"label","Wikipage page ID"
"Centro Universitário de Brasília","47710043"
"长郡中学","46368271"
"潮州市職業技術学校","46513490"
"Chavagnes Studium","48000192"
"Children's Academy Patna, Danapur Patna Bihar","47713641"
"Children's University",""
"Christ Our King-Stella Maris School",""
"Christopher High School",""
"Churchill Community College",""
"City College Peterborough","46511129"
"Cleveland High School (Texas)","47758194"
"Exzellenzcluster CliSAP","45644114"
"Clifton-upon-Dunsmore Primary School",""
"College of Applied Science Malappuram",""
"College of Home Economics, Dhaka","45653388"
"College of Information Technology and Engineering","47793314"
"College of Interdisciplinary Studies","46452614"
"College of the Immaculate Conception (Cabanatuan)",""
"Collegium Charter School",""
"Collingwood Area School",""
