"label","Geburtsort"
"Mujibur Rahman (Sri Lankan politician)","http://dbpedia.org/resource/Colombo"
"Nalaka Kolonne",""
"Nalin Bandara","http://dbpedia.org/resource/Sri_Lanka"
"Nanda Gunasinghe",""
"Rahayu Mahzam","http://dbpedia.org/resource/Singapore"
"S. Viyalendiran",""
"Saidulla Marikkar",""
"Saktiandi Supaat","http://dbpedia.org/resource/Singapore"
"Sarah Adwoa Safo","http://dbpedia.org/resource/Accra"
"Shanthi Sriskantharajah",""
"Sidney Jayarathna",""
"Susan Ofori-Atta","http://dbpedia.org/resource/Accra"
"Thushara Indunil",""
"Umar Nasir","http://dbpedia.org/resource/Khyber_Pakhtunkhwa"
"Wimalaweera Dissanayake",""
"Alan Campbell (politician)",""
"Alasdair Webster",""
"Alec Jones",""
"Andrew Hunter (British politician)",""
"Barry Jones, Baron Jones",""
