"Link from a Wikipage to an external page","label","Wikipage revision ID","Wikipage page ID"
"http://refdb.wishartlab.com/","RefDB (chemistry)","671718114","34138058"
"http://www.mousephenotype.org","International Mouse Phenotyping Consortium","678236298","38950795"
"","FishBase","",""
"","Brix (database)","",""
"http://hymenopteragenome.org/","Hymenoptera genome database","676748482","31622034"
"","ThYme (database)","",""
"","ArachnoServer","",""
"http://www.orthodb.org","OrthoDB","619646914","31367370"
"http://PlasmoDB.org","PlasmoDB","678221503","30339099"
"ftp://ftp.isrec.isb-sib.ch/pub/databases/trome","UniProt","679395936","1664428"
"","Indian Genetic Disease Database","",""
"http://mnm.engr.uconn.edu/","Minimotif Miner","677682532","27947144"
"http://compbio.uthsc.edu/miRSNP/","PolymiRTS","637935107","30483254"
"","Yeastract","",""
"","UCbase","",""
"","PubChem","",""
"http://www.biomart.org/","Ensembl Genomes","678229545","34463090"
"","LocDB","",""
"","Transient receptor potential channel-interacting protein database","",""
"http://utrdb.ba.itb.cnr.it/","UTRdb","637937586","30498118"
