"Wikipage revision ID","label","Wikipage page ID","classis"
"669895515","Tetraliidae","47149846","http://dbpedia.org/resource/Malacostraca"
"675362942","Uroptychus anacaena","47483348","http://dbpedia.org/resource/Malacostraca"
"675362943","Uroptychus anatonus","47483349","http://dbpedia.org/resource/Malacostraca"
"675363480","Uroptychus orientalis","47483380","http://dbpedia.org/resource/Malacostraca"
"675447323","Uroptychus singularis","47483400","http://dbpedia.org/resource/Malacostraca"
"683820122","Acroperus tupinamba","48014067","Branchiopoda"
"675017298","Armadillidium klugii","47377354",""
"680084185","Celsinotum candango","47752208","Branchiopoda"
"681033309","Chaceon","47815864","http://dbpedia.org/resource/Malacostraca"
"672795306","Cherax pulcher","47100486",""
"668950221","Clausidium dissimile","47093099",""
"682394223","Heteropenaeus longimanus","47909488","http://dbpedia.org/resource/Malacostraca"
"683473170","Hirsutodynomene","47953893","http://dbpedia.org/resource/Malacostraca"
"673566430","Lysmata ankeri","47369930",""
"673566385","Lysmata bahia","47369928",""
"673566382","Lysmata boggessi","47369927",""
"673566392","Lysmata pederseni","47369929",""
"683575520","Migmathelphusa","47964690","http://dbpedia.org/resource/Malacostraca"
"683436188","Migmathelphusa olivacea","47964714","http://dbpedia.org/resource/Malacostraca"
"677541435","Munidopsis tafrii","47606475","http://dbpedia.org/resource/Malacostraca"
