"label","Wikipage revision ID","Wikipage page ID","type","Name","year"
"Western Victoria","675253271","47477647","http://dbpedia.org/resource/Geographical_indication","Western Victoria","1996"
"Bennett Valley AVA","","","","",""
"Crozes-Hermitage AOC","576885980","1126772","","",""
"Eola-Amity Hills AVA","","","","",""
"Escondido Valley AVA","","","","",""
"Fair Play AVA","","","","",""
"Hermitage AOC","683079312","548758","","",""
"Kanawha River Valley AVA","","","","",""
"Lehigh Valley AVA","","","","",""
"Long Island AVA","","","","",""
"Malibu-Newton Canyon AVA","","","","",""
"Napa Valley AVA","","","","",""
"Niagara Escarpment AVA","","","","",""
"North Yuba AVA","","","","",""
"Oakville AVA","","","","",""
"Ramona Valley AVA","","","","",""
"Red Hill Douglas County, Oregon AVA","","","","",""
"Red Hills Lake County AVA","","","","",""
"Saint-Julien","542732571","26601193","","",""
"San Benito AVA","","","","",""
