"label","death place","birth place"
"William H. Warner","Northeastern California","http://dbpedia.org/resource/Columbia_County,_New_York"
"Aart Malherbe","",""
"Adolf Gustaaf Lembong","http://dbpedia.org/resource/West_Java",""
"Alan Barker","Trowbridge, Wiltshire","Canterbury, Kent"
"Albay Ahmed Berri","",""
"Alekseï Jadov","http://dbpedia.org/resource/Moscow","http://dbpedia.org/resource/Russian_Empire"
"Alexander Kapitokhin","http://dbpedia.org/resource/Moscow","Kamenka-Loginovka village, Yelets uyezd, Orel Governorate, Russian Empire"
"Alexander Vass Anderson","St Martin, Jersey","Stonehaven, Scotland"
"Antoni Kiewnarski","Jelenia Gora formerly Hirschberg",""
"Antoni Koper","Arlington, Virginia, USA","Warsaw, Poland"
"Benjamin W. Schenck","","http://dbpedia.org/resource/Butler_County,_Ohio"
"Bhim Bahadur Dewan (Soldier)","KIA at Batalik Sector, Kargil","Vill Namsaling, Ward No. 6, Sukrabare Bazar, Anchal: Mechi. , Nepal"
"Buddhi Siriwardene","",""
"Charles Aimé de Royrand","Baugé-en-Anjou, Maine-et-Loire, France","http://dbpedia.org/resource/Saint-Fulgent"
"Charles Cornewall","http://dbpedia.org/resource/Lisbon","http://dbpedia.org/resource/Eye,_Herefordshire"
"Charles D. Michel","",""
"Charles Edward Maurice Lloyd","http://dbpedia.org/resource/Perth","http://dbpedia.org/resource/South_Fremantle,_Western_Australia"
"Charles L. Adair","http://dbpedia.org/resource/Annapolis,_Maryland","http://dbpedia.org/resource/Tyler,_Texas"
"Charles L. Russell","","http://dbpedia.org/resource/Malone_(village),_New_York"
"Charles Schroeter (Medal of Honor)","http://dbpedia.org/resource/San_Diego","http://dbpedia.org/resource/Lüneburg"
