"Wikipage page ID","Wikipage revision ID","label"
"45560488","656764985","Bryce resort"
"47530082","676172858","Lauberhorn ski races"
"","","Chimgon"
"","","Thredbo, New South Wales"
"","","Bald Mountain (Idaho)"
"","","Bear Paw Ski Bowl"
"","","Beaver Mountain"
"","","Blizzard Mountain Ski Area"
"","","Brundage Mountain"
"","","Apex Mountain Resort"
"","","Buck Hill"
"","","Camp Fortune"
"","","Cannon Mountain Ski Area"
"","","Cascade Mountain (ski area)"
"","","Bear Valley (resort)"
"","","Beaver Creek Resort"
"","","Black Mountain Ski Area (New Hampshire)"
"","","Black Mountain of Maine"
"","","Blue Mountain (ski resort)"
"","","Blue Mountain Ski Area"
