"label","Link from a Wikipage to an external page","Wikipage page ID","Wikipage revision ID"
"GURU - Bhagwan, His Secretary & His Bodyguard","http://www.gurufilm.ch/Film/en","46385910","679930075"
"The Last Druid: Garm Wars","","",""
"Gekijōban Meiji Tokyo Renka: Yumihari no Serenade","http://meikoi-cinema.com/","46653641","671958890"
"Golden Veil","http://www.thegoldenveil.com/","47729368","681762735"
"Gooische Vrouwen (film)","","46651424",""
"Grandma Anna Bae Jenkins","http://grandmotherjenkins.webs.com/","47940332","683532150"
"Guidelines (film)","","",""
"Gun Woman","","46757809","683279243"
"Hate Crimes in the Heartland","","46478166","667142298"
"Heneral Luna","","",""
"History and Memory: For Akiko and Takashige","","46491867","666442267"
"Ho Gana Pokuna","http://www.hogaanapokuna.com/Ho_gaana_pokuna/HOME.html","46658390","676008436"
"وطن (العراق سنة صفر)”","","46346542","682904372"
"Hostel Returns","http://sunilrawal.com.np","46892278","683250724"
"How to Change the World (film)","","47646302","679750962"
"Huldufólk 102","http://www.huldufolk102.com","47879770","682047263"
"Hustle & Flow","","",""
"I Am Chris Farley","https://www.facebook.com/HodgeeFilms","46817194","683800550"
"La Glace et le Ciel","","",""
"Igualita a mí","http://www.igualitaami.com/","46859310","670541221"
