"Link from a Wikipage to an external page","Wikipage page ID","label","Wikipage revision ID"
"http://www.jarlesvifstatistikk.piczo.com/?cr=3","45410853","Vålerenga Fotball 2015","683762904"
"http://www.rakhineunitedfc.com/","47533690","2015 Zwekapin season","676233970"
"http://www.asse.fr/","47181322","Saison 2015-2016 de l'AS Saint-Étienne","683668695"
"https://www.facebook.com/AZALPFCOfficial?ref=hl","47513354","2015–16 AZAL PFC season","683827284"
"http://www.angers-sco.fr/","47179477","Saison 2015-2016 du SCO d'Angers","683873822"
"http://beitar-fc.co.il/","47210756","2015–16 Beitar Jerusalem F.C. season","683596900"
"http://www.celtavigo.net/","47106279","2015–16 Celta de Vigo season","683008543"
"http://www.eaguingamp.com/","47180028","Saison 2015-2016 de l'En Avant de Guingamp","680904777"
"http://fck.dk","47263906","2015–16 F.C. Copenhagen season","683000417"
"http://www.girondins.com/en/home-page","47084226","Saison 2015-2016 des Girondins de Bordeaux","683868246"
"http://www.fckoper.si","47238118","2015–16 FC Koper season","676999627"
"http://www.fclweb.fr/","47180436","Saison 2015-2016 du FC Lorient","682538186"
"http://www.fcnantes.com/accueil.php","47180926","Saison 2015-2016 du FC Nantes","683356770"
"http://shakhtar.com/","47126411","Futbol'nyj Klub Šachtar 2015-2016","683868818"
"http://fcstal.com.ua/","47506262","2015–16 FC Stal Dniprodzerzhynsk season","679799026"
"http://www.vorskla.com.ua/","47498615","2015–16 FC Vorskla Poltava season","678587715"
"http://www.zarya-lugansk.com/home.php","47401272","2015–16 FC Zorya Luhansk season","679798018"
"http://www.gfca-foot.com/","47178207","Saison 2015-2016 du GFC Ajaccio","683871524"
"http://www.granadacf.es/","47106307","2015–16 Granada CF season","682059972"
"http://www.pfckapaz.com","47513537","2015–16 Kapaz PFK season","683048447"
