"label","Link from a Wikipage to an external page","Wikipage page ID","Wikipage revision ID"
"Scinax staufferi","http://www.iucnredlist.org","12376121","544874496"
"Bufotes siculus","http://amphibiaweb.org/cgi/amphib_query?where-genus=Bufo&where-species=siculus","25765786","609156496"
"Litoria longicrus","http://www.iucnredlist.org","12373467","678909343"
"Eastern newt","","",""
"Geocrinia laevis","","",""
"Geocrinia leai","","",""
"Gray tree frog","","",""
"Limnodynastes dumerilii","","",""
"علجوم الحصى","","12359584","656133594"
"Pouched frog","http://frogsaustralia.net.au/frogs/display.cfm?frog_id=3","3045630","663532583"
"Stuttering frog","http://www.deh.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1942","5100296","669524407"
"Dendropsophus carnifex","","",""
"Hyla molitor","http://www.iucnredlist.org","12372606","541651822"
"Alpen-Kammmolch","","12176781","681389203"
"Rhacophorus owstoni","","",""
"Caeciliidae","","",""
"Fire-bellied toad","","976931",""
"Ichthyophiidae","","",""
"Ichthyophis","http://research.amnh.org/herpetology/amphibia/names.php?taxon=&family=&subfamily=&genus=Ichthyophis&commname=&authority=&year=&geo=0&dist=&comment=","932058","678344765"
"Scolecomorphidae","","",""
