"label","Wikipage page ID"
"Postal museum, Colombo","46863915"
"Railway Interpretation Center","47986285"
"Redland Museum",""
"Robert H. Jackson Center","47375466"
"Royal Automobile Museum","47720572"
"Sadurengas Museum","46653702"
"Saint-Etienne Mine Museum","46453770"
"Sheboygan County Historical Museum","45709531"
"Sri Baduga museum",""
"Strauss Museum",""
"Arkitekturmuseet",""
"Temple of the Tooth Museum",""
"Tennessee Agricultural Museum","47992991"
"Texas Museum of Science and Technology","46291877"
"The City Reliquary",""
"The Power Station (art space)","46874812"
"The Transportation Museum at Ystafell","47816502"
"今治市伊東豊雄建築ミュージアム","46764667"
"University of Copenhagen Geological Museum","46804694"
"Warbirds and Wheels, Wanaka","46236635"
