"auteur","number of volumes","Herausgeber","last publication date","Datum der Erstausgabe","label","Magazin"
"http://dbpedia.org/resource/Broccoli_(company)","8","http://dbpedia.org/resource/Fujimi_Shobo","2004-03-27","2001-04-27","","http://dbpedia.org/resource/Monthly_Dragon_Age"
"","","","","","Good Morning Althea",""
"","49","http://dbpedia.org/resource/Shogakukan","","","","http://dbpedia.org/resource/CoroCoro_Comic"
"","","","","","いとしのムーコ",""
"","","","","","Mahō Shōjo Ikusei Keikaku",""
"","","","","","温泉幼精ハコネちゃん",""
"","","","","","Sansha San'yō",""
"","","","","","2001 Nights",""
"","","","","","Adachi-ga Hara",""
"","","","","","Akira (manga)",""
"","","","","","Arakawa under the Bridge",""
"","","","","","Mila Superstar",""
"","","","","","Basara (manga)",""
"","","","","","Battle B-Daman",""
"","","","","","Black Cat (manga)",""
"","","","","","Blame!",""
"","","","","","Case Closed",""
"","","","","","Cat's Eye (manga)",""
"","","","","","Chrono Crusade",""
"","","","","","Death Note",""
