"label","Wikipage page ID"
"Court of Fives","47948897"
"Cretica Chronica",""
"Crossing Borders: Personal Essays",""
"Culture+Travel","47303087"
"Current Allergy and Asthma Reports",""
"Current Drug Metabolism","47349232"
"Dag Allemaal",""
"Dainik Asam","47868508"
"Damernas Värld",""
"Decoding the Universe","47315964"
"Deutsche Entomologische Zeitschrift","45690965"
"Developmental Cell","47663358"
"Segre (diario)",""
"Diary of a Wimpy Kid: Old School","46541719"
"Diez minutos",""
"Dik Manusch","45716519"
"Disappointment with God",""
"Discrete Applied Mathematics","47656173"
"Do Rzeczy",""
"Donna Moderna",""
