"number of matches or caps","Anzahl der erzielten Tore","Team","label","Jahre"
"3","2","http://dbpedia.org/resource/Algeria_national_under-23_football_team","","2014"
"101","23","http://dbpedia.org/resource/Club_Deportivo_Árabe_Unido","","2011"
"8","0","http://dbpedia.org/resource/Panama_national_football_team","","2014"
"36","6","http://dbpedia.org/resource/Valenciennes_FC","","2011"
"28","1","http://dbpedia.org/resource/Valenciennes_FC","","2014"
"1","0","http://dbpedia.org/resource/Burkina_Faso_national_football_team","","2015"
"","","http://dbpedia.org/resource/Levallois_SC","","2006"
"","","http://dbpedia.org/resource/FC_Saint-Leu","","2008"
"","","http://dbpedia.org/resource/Le_Blanc-Mesnil_SF","","2011"
"15","0","http://dbpedia.org/resource/Paris_Saint-Germain_F.C.","","2012"
"","","http://dbpedia.org/resource/AS_Poissy","","2013"
"7","0","http://dbpedia.org/resource/Mauritania_national_football_team","","2013"
"","","http://dbpedia.org/resource/Kilikia_F.C.","","2008"
"","","http://dbpedia.org/resource/Gandzasar_Kapan_FC","","2010"
"","","http://dbpedia.org/resource/FC_Ararat_Yerevan","","2012"
"","","http://dbpedia.org/resource/Armenia_national_under-19_football_team","","2013"
"","","http://dbpedia.org/resource/Armenia_national_under-21_football_team","","2013"
"","","http://dbpedia.org/resource/Alashkert_FC","","2014"
"60","2","http://dbpedia.org/resource/FC_Ararat_Yerevan","","1984"
"40","5","http://dbpedia.org/resource/FC_Kotayk","","1991"
