"Link from a Wikipage to an external page","Wikipage page ID","label","Wikipage revision ID"
"http://www.travelwisconsin.com/campgrounds/spirit-lake-campground-200607","46327538","Spirit Lake (Price County, Wisconsin)","655315952"
"","47920768","Bila river (Bosnia)","682611826"
"","","",""
"","","",""
"","","",""
"","","",""
"","47215253","Murder Creek",""
"","","",""
"","47521242","Saidgai Lake","682386819"
"","","",""
"","47274362","Todzie River","675908989"
"","","",""
"","47599301","Bashigram Lake","680732153"
"http://www.houstonlake.com/","47959027","Houston Lake (Georgia)","683311558"
"","","",""
"","","Lake Pilchicocha",""
"http://www.galaxgazette.com/content/fishing-lovills-creek-lake","47102629","Lovill's Creek Lake","669102719"
"","","",""
"","47687028","Manno Lake","679440926"
"","47720525","Mynäjärvi","679583385"
