"label","Wikipage page ID"
"Bitwa pod Jastkowem","47650531"
"Battle of Kunduz","47959396"
"Battle of Mutanchiang","47701390"
"Battle of Nirmohgarh (1702)","47696267"
"Battle of Novo Litovoskaya","47886509"
"Schlacht von Othée","47669134"
"Battle of Pease Bottom","47125100"
"Battle of Posolskeya","47886617"
"Battle of Püchen","47618945"
"Battle of Sadhaura","47766319"
"Battle of Sialkot (1761)","47668224"
"Battle of Tabora","47732681"
"Battle of Vega de Pagana",""
"Battle of the Embarras River","47805700"
"Battle of the Ford of the Biscuits","47631524"
"Battle of the Lacus Curtius","47713915"
"Battle of the Trench (1821)","47126360"
"Bosnian Crusade","47590204"
"Burmese–Siamese War (1775–76)",""
"Guerra bulgaro-bizantina del 913-927","47137880"
