"Link from a Wikipage to an external page","label","Wikipage revision ID","Wikipage page ID"
"http://fcufa.pro/","Нефтяник (стадион, Уфа)","676187349","47526739"
"http://the-aiff.com","Oil India Ground","678726073","47511866"
"http://www.fcgranit.by/index.php/klub/2011-11-04-22-06-09/stadion","Полесье (стадион, Лунинец)","675283195","47446685"
"","Shilaroo Hockey Stadium","675526361","47485352"
"","Sri Sathya Sai International Centre for Sports","",""
"http://www.termalica.brukbet.com/nowa/stadion","Stadion Termaliki Bruk-Bet","681477743","47581676"
"","Vidarbha Hockey Association Stadium","",""
"","Warren J. Harang Jr. Municipal Auditorium","",""
"","YS Raja Reddy Stadium","677793943","47426907"
"http://www.punecityinfo.com/business/det-annasaheb-magar-stadium-pune.aspx","Annasaheb Magar PCMC Stadium","677959784","47533259"
"","Calicut Medical College Stadium","","47530573"
"","Campo Municipal de Gobela","681058694","47146818"
"","Campo de la Reina Victoria","670734830","47146491"
"","Campo del Mercantil","679880537","47186889"
"","Central Park (Pittsburgh)","","47447729"
"","Chowgule Sports Centre","",""
"http://au.soccerway.com/venues/australia/elite-systems-football-centre/v23763/","Elite Systems Football Centre","676143004","47142773"
"","Estadio Cincuentenario","675342211","47267108"
"","Estadio Municipal de Rancagua","675339507","47412337"
"","Estadio Ruca Che","675339953","47265924"
