"Center","Wikipage revision ID","Wikipage page ID","Link from a Wikipage to an external page","label"
"http://dbpedia.org/resource/George_Institute_for_Global_Health","678692461","47675330","http://www.pedro.org.au/","Physiotherapy Evidence Database"
"","","","","Atlas of UTR Regulatory Activity"
"","679416022","12799573","http://webcsd.ccdc.cam.ac.uk/","Cambridge Structural Database"
"","670389599","34610793","http://nanocrystallography.net","Crystallography Open Database"
"","","","","Database of Interacting Proteins"
"","","","","Integrated Microbial Genomes System"
"","676365933","670449","http://www.omim.org/","Online Mendelian Inheritance in Man"
"","672062386","22454943","http://genome.lbl.gov/vista/index.shtml","VISTA (comparative genomics)"
"","","","","人类蛋白质组计划"
"","678851087","44248347","http://rgd.mcw.edu/","Gene Disease Database"
"","671398039","31849528","http://www.ncbi.nlm.nih.gov/geo/","NCBI Epigenomics"
"","637936771","30494874","http://plantta.tigr.org","TIGR plant transcript assembly database"
"","677480134","30357527","http://www.cbs.dtu.dk/services/ChemProt","ChemProt"
"University of Alberta","651249492","42516350","http://panav.wishartlab.com","Probabilistic Approach for Protein NMR Assignment Validation"
"","","","","TopFIND"
"","","5060330","","List of MeSH codes"
"","","","","كيم سبايدر"
"","526148873","31213240","http://bindingDB.org/","BindingDB"
"","636623353","30341060","http://bio2rdf.org","Bio2RDF"
"","640267655","30356318","http://bioinf-data.charite.de/cancerresource/","CancerResource"
