"Wikipage page ID","Wikipage revision ID","label"
"5559474","669632185","203 series"
"6241605","664564244","British Rail Class 123"
"6241685","664560061","British Rail Class 125"
"6229537","662941495","MF 67"
"6185945","627267567","SBB RABDe 12/12"
"6215945","650777660","British Rail Class 206"
"6139843","678974140","IE 2700 and 2750 Classes"
"6130894","654970247","London Underground 1949 Stock"
"6134115","654970503","London Underground H Stock"
"5980792","682768153","M2 (railcar)"
"6181209","586190897","SNCF Class B 81500"
"6181103","677632488","SNCF Class B 82500"
"25794443","615414304","相鉄7000系電車"
"13502188","595920618","NMBS/SNCB-Reihe 41"
"28927484","645023460","ZSSK-Baureihe 425.95"
"13475785","624042708","SKM-Baureihe 14WE"
"13213931","662693144","ETR 480"
"","","港鐵Adtranz-CAF電動列車"
"15780982","683762679","香港地下鉄メトロキャメル電車 (直流)"
"","","Z type carriage"
