"Wikipage revision ID","label","Wikipage page ID","classis"
"673088452","List of cartilaginous fish","47297857","http://dbpedia.org/resource/Chondrichthyes"
"672637732","Loricariichthys edentatus","47311124",""
"672638009","Loricariichthys melanocheilus","47311190",""
"672638508","Loricariichthys rostratus","47311229",""
"676362042","Macrognathus fasciatus","47533557","http://dbpedia.org/resource/Actinopterygii"
"672751834","جورامي عملاق أحمر الذيل","47318469",""
"674488593","Parapercis alboguttata","47281354",""
"669787541","Schistura cristata","47144727",""
"671834785","Paratodus","47260325","http://dbpedia.org/resource/Chondrichthyes"
"677430940","Plectorhinchus lineatus","47309975",""
"","Sebastes schlegelii","47247334",""
"674156187","Paralabrax maculatofasciatus","47405447",""
"671130333","Squalius malacitanus","47163428",""
"671130449","Squalius valentinus","47163419",""
"671805212","Stolephorus commersonnii","47254466",""
"676700072","Suculentophichthus nasus","47291462",""
"671805292","Thryssa encrasicholoides","47254598",""
"671805361","Thryssa malabarica","47254818",""
"681181497","Ablabys binotatus","47823683","http://dbpedia.org/resource/Actinopterygii"
"681973402","Ablabys macracanthus","47882358","http://dbpedia.org/resource/Actinopterygii"
