"Wikipage revision ID","label","entered service","Link from a Wikipage to an external page","Wikipage page ID","decay date","image caption"
"681436111","AESP-14","--02-05","http://www.aer.ita.br/~aesp14/","46740068","2015-05-11","An 1U cubesat similar to the AESP-14 satellite."
"664726183","Lunar Flashlight","","http://sservi.nasa.gov/articles/lunar-flashlight/","46784364","",""
"680689990","Mars Hope","","http://mbrsc.ae/en/page/mars-probe","46635411","",""
"679836701","Origins, Dynamics, and Interiors of the Neptunian and Uranian Systems","","http://odinus.iaps.inaf.it/","47681779","",""
"675531469","CubETH","","","47485983","",""
"675964399","OSCAR 17","","http://nssdc.gsfc.nasa.gov/nmc/spacecraftDisplay.do?id=1990-005E","47489475","",""
"673022828","Lincoln Calibration Sphere 1","","","47312460","9.46728E11",""
"671132000","Прогресс М-28М","","","47141504","",""
"675809357","UK-DMC 3","","http://www.sstl.co.uk/Missions/DMC3","47167839","",""
"671738233","USA-262","","","47252346","",""
"672783351","Venus orbiter mission","","","47144805","",""
"683992007","ARSAT-2","","http://satelitesarsat.com.ar/","47612761","",""
"683992521","ARSAT-3","","http://satelitesarsat.com.ar/","47613025","",""
"677392513","Cygnus CRS Orb-10E","","","47562307","",""
"676789304","Cygnus CRS Orb-7","","","47562098","",""
"677392309","Cygnus CRS Orb-8E","","","47562235","",""
"677392529","Cygnus CRS Orb-9E","","","47562281","",""
"683579860","DAVINCI (spacecraft)","","","47989065","",""
"681086941","Ekspress AM8","","","47819372","",""
"","Exploration Mission 3","","","47633979","",""
