"label","Geburtsort"
"Skip Kelly","http://dbpedia.org/resource/New_Hampshire"
"The James Cowen Radio Show",""
"Adaora Onyechere","http://dbpedia.org/resource/Anambra"
"Papa Jack","http://dbpedia.org/resource/Alcala,_Pangasinan"
"Mozez Praiz","http://dbpedia.org/resource/Lagos"
"Amberley Lobo",""
"Dori Monson",""
"Egypt Sherrod","http://dbpedia.org/resource/Pennsylvania"
"Goodman Ace",""
"Joe Maiden","http://dbpedia.org/resource/Cumbria"
"Julio Sánchez Cristo",""
"Leo Laporte",""
"Mark Radcliffe",""
"Steve Wright (DJ)",""
"Vernon Corea",""
"Adam Spencer",""
"Diana Luke",""
"Mary Margaret McBride",""
"Rob Stenders",""
"Andrés Durán",""
